Date,Time,Title,Entry,Team Size,Platforms,Game
"September 12, 2022",10:20 PM,2v2 1ND MW SND,$4,2,"['xbox', 'playstation', 'battle.net']",Call of Duty Modern Warfare 2
"September 12, 2022",9:20 PM,3v3 1ND CW SND,$4,3,"['xbox', 'playstation', 'battle.net']",Call of Duty Modern Warfare 2
